Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-49.74365234,-50.96435547,-54.01611328,-61.03515625,-55.54199219
0.100000001,-50.35400391,-50.65917969,-52.79541016,-62.56103516,-54.93164063
0.200000003,-51.87988281,-48.828125,-52.49023438,-61.34033203,-56.15234375
0.300000012,-51.57470703,-50.04882813,-51.26953125,-59.81445313,-54.93164063
0.400000006,-50.35400391,-50.65917969,-51.87988281,-61.03515625,-54.62646484
0.5,-50.96435547,-50.65917969,-53.40576172,-59.81445313,-57.06787109
0.600000024,-49.43847656,-50.04882813,-51.26953125,-59.81445313,-56.15234375
0.699999988,-50.65917969,-48.828125,-51.87988281,-58.59375,-56.45751953
0.800000012,-50.65917969,-49.74365234,-52.18505859,-58.89892578,-54.93164063
0.899999976,-49.43847656,-49.74365234,-53.40576172,-59.20410156,-55.84716797
1,-49.13330078,-49.74365234,-51.26953125,-58.89892578,-56.15234375
1.100000024,-49.13330078,-50.04882813,-51.26953125,-58.89892578,-54.93164063
1.200000048,-50.04882813,-47.60742188,-52.18505859,-57.37304688,-55.54199219
1.299999952,-49.74365234,-49.43847656,-51.57470703,-57.67822266,-57.06787109
1.399999976,-48.52294922,-48.52294922,-51.57470703,-57.67822266,-55.84716797
1.5,-48.52294922,-48.828125,-50.96435547,-58.28857422,-54.93164063
1.600000024,-49.74365234,-46.99707031,-52.18505859,-56.15234375,-57.06787109
1.700000048,-50.96435547,-48.828125,-51.57470703,-55.84716797,-55.23681641
1.799999952,-47.91259766,-49.43847656,-50.35400391,-58.59375,-55.23681641
1.899999976,-48.21777344,-48.52294922,-52.79541016,-57.37304688,-57.67822266
2,-48.828125,-47.91259766,-51.26953125,-56.76269531,-54.93164063
2.099999905,-48.828125,-48.828125,-50.04882813,-54.93164063,-55.54199219
2.200000048,-47.30224609,-47.30224609,-51.26953125,-57.37304688,-56.15234375
2.299999952,-48.21777344,-45.77636719,-50.96435547,-54.93164063,-55.54199219
2.400000095,-50.04882813,-48.21777344,-50.35400391,-55.84716797,-56.76269531
2.5,-47.30224609,-47.91259766,-51.87988281,-56.76269531,-56.15234375
2.599999905,-48.52294922,-46.08154297,-50.35400391,-55.54199219,-55.84716797
2.700000048,-48.52294922,-48.21777344,-50.04882813,-55.54199219,-56.76269531
2.799999952,-47.60742188,-46.69189453,-51.57470703,-56.45751953,-55.54199219
2.900000095,-47.60742188,-44.55566406,-49.74365234,-56.15234375,-56.15234375
3,-47.91259766,-36.01074219,-50.35400391,-53.7109375,-54.93164063
3.099999905,-46.38671875,-3.051757813,-51.26953125,-56.15234375,-57.37304688
3.200000048,-46.38671875,29.90722656,-48.828125,-55.84716797,-55.84716797
3.299999952,-46.69189453,-5.493164063,-50.96435547,-54.01611328,-55.54199219
3.400000095,-41.80908203,-46.69189453,-49.13330078,-55.54199219,-56.45751953
3.5,-24.10888672,-61.34033203,-50.65917969,-54.01611328,-54.93164063
3.599999905,20.14160156,-62.86621094,-48.828125,-54.93164063,-56.15234375
3.700000048,23.19335938,-63.17138672,-50.04882813,-55.84716797,-57.06787109
3.799999952,-25.02441406,-63.78173828,-50.35400391,-54.01611328,-56.15234375
3.900000095,-53.10058594,-62.56103516,-49.43847656,-54.62646484,-56.45751953
4,-63.17138672,-63.4765625,-49.74365234,-54.62646484,-57.37304688
4.099999905,-62.25585938,-61.03515625,-47.30224609,-54.93164063,-57.06787109
4.199999809,-62.56103516,-61.95068359,-49.43847656,-53.7109375,-57.67822266
4.300000191,-62.25585938,-59.81445313,-47.30224609,-53.10058594,-57.37304688
4.400000095,-61.03515625,-60.72998047,-47.60742188,-53.10058594,-57.06787109
4.5,-63.17138672,-60.42480469,-50.35400391,-53.7109375,-57.67822266
4.599999905,-60.11962891,-59.81445313,-47.91259766,-54.01611328,-57.37304688
4.699999809,-61.03515625,-59.81445313,-47.60742188,-54.01611328,-57.06787109
4.800000191,-59.81445313,-59.81445313,-46.38671875,-54.01611328,-55.54199219
4.900000095,-58.28857422,-57.98339844,-45.77636719,-53.40576172,-55.54199219
5,-58.28857422,-57.37304688,-41.19873047,-53.40576172,-56.15234375
5.099999905,-59.81445313,-57.37304688,-22.27783203,-52.18505859,-55.54199219
5.199999809,-59.20410156,-56.45751953,22.27783203,-52.18505859,-56.76269531
5.300000191,-58.59375,-57.37304688,17.70019531,-53.10058594,-55.54199219
5.400000095,-57.67822266,-56.15234375,-34.1796875,-53.7109375,-56.15234375
5.5,-57.67822266,-56.45751953,-57.98339844,-53.7109375,-55.54199219
5.599999905,-57.37304688,-56.45751953,-63.4765625,-53.10058594,-55.84716797
5.699999809,-56.45751953,-55.84716797,-63.4765625,-53.10058594,-54.62646484
5.800000191,-58.28857422,-57.06787109,-64.08691406,-53.10058594,-55.54199219
5.900000095,-57.98339844,-57.06787109,-65.00244141,-51.26953125,-56.76269531
6,-56.76269531,-57.06787109,-63.17138672,-53.10058594,-57.37304688
6.099999905,-56.76269531,-56.15234375,-62.56103516,-52.18505859,-57.98339844
6.199999809,-55.54199219,-56.15234375,-60.42480469,-52.49023438,-56.76269531
6.300000191,-55.23681641,-55.84716797,-60.42480469,-51.26953125,-55.84716797
6.400000095,-54.32128906,-55.23681641,-58.89892578,-51.87988281,-54.62646484
6.5,-55.23681641,-57.06787109,-59.81445313,-52.49023438,-54.93164063
6.599999905,-55.23681641,-56.15234375,-59.50927734,-52.49023438,-55.54199219
6.699999809,-54.62646484,-56.15234375,-58.89892578,-53.10058594,-54.62646484
6.800000191,-56.15234375,-54.01611328,-58.89892578,-51.87988281,-55.84716797
6.900000095,-55.84716797,-54.32128906,-58.59375,-52.18505859,-55.84716797
7,-56.15234375,-53.10058594,-58.59375,-52.18505859,-56.76269531
7.099999905,-56.45751953,-54.01611328,-56.76269531,-51.87988281,-54.62646484
7.199999809,-55.84716797,-53.7109375,-57.06787109,-52.49023438,-53.40576172
7.300000191,-55.54199219,-53.40576172,-57.37304688,-50.65917969,-54.93164063
7.400000095,-53.40576172,-54.62646484,-56.15234375,-52.18505859,-54.62646484
7.5,-54.62646484,-54.93164063,-57.67822266,-50.35400391,-55.54199219
7.599999905,-53.7109375,-54.32128906,-57.67822266,-49.74365234,-54.93164063
7.699999809,-54.01611328,-53.40576172,-56.45751953,-49.13330078,-54.62646484
7.800000191,-54.32128906,-53.40576172,-54.93164063,-49.13330078,-53.7109375
7.900000095,-54.93164063,-53.7109375,-55.84716797,-50.65917969,-54.62646484
8,-56.15234375,-53.40576172,-55.84716797,-49.13330078,-55.54199219
8.100000381,-54.01611328,-54.32128906,-56.15234375,-50.65917969,-54.62646484
8.199999809,-53.7109375,-54.32128906,-56.45751953,-50.96435547,-54.32128906
8.300000191,-52.79541016,-54.32128906,-54.93164063,-50.65917969,-53.10058594
8.399999619,-52.79541016,-51.87988281,-54.93164063,-48.828125,-54.01611328
8.5,-54.32128906,-53.10058594,-54.01611328,-48.52294922,-54.01611328
8.600000381,-54.01611328,-53.10058594,-56.15234375,-49.13330078,-53.10058594
8.699999809,-54.62646484,-53.40576172,-55.54199219,-47.91259766,-53.7109375
8.800000191,-53.10058594,-54.01611328,-54.01611328,-49.13330078,-53.7109375
8.899999619,-52.79541016,-51.87988281,-53.7109375,-48.52294922,-55.23681641
