Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-46.69189453,-42.72460938,-37.84179688,-40.89355469,-47.91259766
0.100000001,-45.47119141,-42.72460938,-37.23144531,-40.28320313,-46.69189453
0.200000003,-47.30224609,-43.33496094,-36.92626953,-40.89355469,-47.91259766
0.300000012,-47.30224609,-43.02978516,-37.53662109,-39.36767578,-49.13330078
0.400000006,-46.08154297,-41.50390625,-36.92626953,-39.97802734,-47.60742188
0.5,-47.60742188,-44.25048828,-35.70556641,-40.28320313,-46.08154297
0.600000024,-46.08154297,-41.19873047,-36.62109375,-39.67285156,-47.30224609
0.699999988,-46.69189453,-42.41943359,-37.23144531,-39.67285156,-48.21777344
0.800000012,-46.08154297,-43.02978516,-36.31591797,-41.80908203,-46.38671875
0.899999976,-45.77636719,-41.80908203,-35.70556641,-38.75732422,-46.08154297
1,-47.30224609,-42.72460938,-36.31591797,-39.36767578,-47.60742188
1.100000024,-46.69189453,-42.11425781,-35.70556641,-39.97802734,-47.30224609
1.200000048,-46.69189453,-41.80908203,-35.70556641,-38.75732422,-46.08154297
1.299999952,-47.30224609,-42.41943359,-35.40039063,-40.28320313,-46.99707031
1.399999976,-45.47119141,-40.58837891,-34.79003906,-39.36767578,-46.69189453
1.5,-47.30224609,-43.64013672,-36.01074219,-38.14697266,-46.08154297
1.600000024,-45.47119141,-41.80908203,-34.48486328,-40.28320313,-46.99707031
1.700000048,-47.30224609,-42.11425781,-35.40039063,-39.36767578,-46.38671875
1.799999952,-45.77636719,-42.11425781,-35.09521484,-38.45214844,-46.38671875
1.899999976,-46.69189453,-41.19873047,-33.56933594,-38.75732422,-47.60742188
2,-46.08154297,-41.50390625,-34.48486328,-38.14697266,-45.77636719
2.099999905,-46.69189453,-40.58837891,-34.48486328,-38.45214844,-46.69189453
2.200000048,-46.69189453,-43.33496094,-34.48486328,-37.53662109,-46.08154297
2.299999952,-46.69189453,-40.89355469,-33.87451172,-38.14697266,-45.47119141
2.400000095,-46.38671875,-41.80908203,-34.1796875,-38.14697266,-46.69189453
2.5,-46.08154297,-39.97802734,-33.26416016,-36.62109375,-44.86083984
2.599999905,-46.99707031,-42.11425781,-32.65380859,-37.84179688,-46.08154297
2.700000048,-47.60742188,-41.19873047,-32.95898438,-36.31591797,-46.38671875
2.799999952,-46.38671875,-42.11425781,-30.51757813,-37.23144531,-44.86083984
