Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-37.23144531,-38.14697266,-47.91259766,-45.16601563,-46.99707031
0.100000001,-36.01074219,-39.67285156,-47.30224609,-47.30224609,-45.47119141
0.200000003,-36.31591797,-37.84179688,-47.30224609,-45.16601563,-46.69189453
0.300000012,-36.01074219,-37.84179688,-46.38671875,-45.77636719,-45.47119141
0.400000006,-36.92626953,-38.45214844,-47.30224609,-45.77636719,-46.38671875
0.5,-36.01074219,-38.75732422,-46.38671875,-44.86083984,-45.47119141
0.600000024,-35.09521484,-37.84179688,-46.69189453,-44.25048828,-45.77636719
0.699999988,-35.09521484,-38.14697266,-47.30224609,-46.08154297,-47.30224609
0.800000012,-33.87451172,-38.45214844,-47.30224609,-45.16601563,-45.77636719
0.899999976,-28.99169922,-38.14697266,-46.69189453,-45.77636719,-47.60742188
1,-14.6484375,-37.84179688,-45.77636719,-45.16601563,-46.08154297
1.100000024,8.850097656,-36.62109375,-46.99707031,-44.86083984,-46.08154297
1.200000048,25.63476563,-37.23144531,-45.47119141,-45.77636719,-44.86083984
1.299999952,23.80371094,-38.75732422,-45.77636719,-45.16601563,-46.38671875
1.399999976,9.460449219,-36.92626953,-48.21777344,-44.55566406,-46.38671875
1.5,-7.32421875,-36.92626953,-46.08154297,-44.86083984,-46.38671875
1.600000024,-23.49853516,-36.01074219,-46.08154297,-44.25048828,-45.77636719
1.700000048,-31.73828125,-36.62109375,-46.08154297,-45.47119141,-46.38671875
1.799999952,-39.67285156,-35.40039063,-46.08154297,-43.9453125,-45.77636719
1.899999976,-43.64013672,-35.70556641,-45.47119141,-44.25048828,-45.16601563
2,-46.99707031,-37.23144531,-45.16601563,-44.55566406,-45.77636719
2.099999905,-48.52294922,-35.09521484,-46.69189453,-44.86083984,-46.08154297
2.200000048,-48.52294922,-36.01074219,-46.69189453,-44.86083984,-46.08154297
2.299999952,-51.26953125,-35.70556641,-46.38671875,-44.55566406,-46.99707031
2.400000095,-49.13330078,-35.09521484,-46.38671875,-44.25048828,-45.16601563
2.5,-49.13330078,-35.09521484,-45.77636719,-44.55566406,-46.08154297
2.599999905,-49.74365234,-35.09521484,-45.16601563,-43.02978516,-45.77636719
2.700000048,-50.35400391,-35.09521484,-46.38671875,-45.47119141,-46.38671875
2.799999952,-49.74365234,-34.48486328,-46.08154297,-43.64013672,-46.08154297
2.900000095,-48.828125,-34.48486328,-45.77636719,-45.16601563,-45.47119141
3,-50.35400391,-32.65380859,-45.47119141,-43.33496094,-45.16601563
3.099999905,-47.91259766,-33.56933594,-45.47119141,-44.55566406,-44.86083984
3.200000048,-49.74365234,-27.77099609,-45.47119141,-43.33496094,-45.47119141
3.299999952,-49.13330078,-12.20703125,-46.08154297,-43.64013672,-44.25048828
3.400000095,-48.21777344,11.59667969,-44.55566406,-44.86083984,-46.38671875
3.5,-48.828125,26.55029297,-46.69189453,-44.25048828,-47.30224609
3.599999905,-49.74365234,19.53125,-44.55566406,-43.9453125,-45.16601563
3.700000048,-48.828125,5.187988281,-45.77636719,-43.02978516,-45.16601563
3.799999952,-47.91259766,-13.42773438,-44.55566406,-44.25048828,-44.86083984
3.900000095,-49.13330078,-26.55029297,-46.38671875,-42.72460938,-45.77636719
4,-49.13330078,-36.92626953,-44.86083984,-42.72460938,-45.77636719
4.099999905,-47.60742188,-43.64013672,-45.47119141,-44.55566406,-46.38671875
4.199999809,-49.43847656,-45.16601563,-45.47119141,-42.72460938,-45.77636719
4.300000191,-47.60742188,-48.52294922,-46.38671875,-43.9453125,-45.47119141
4.400000095,-49.13330078,-48.828125,-45.47119141,-43.02978516,-46.08154297
4.5,-47.30224609,-49.13330078,-45.77636719,-43.33496094,-45.47119141
4.599999905,-47.91259766,-49.43847656,-45.47119141,-43.9453125,-46.69189453
4.699999809,-49.43847656,-50.04882813,-46.38671875,-43.64013672,-45.47119141
4.800000191,-47.60742188,-50.96435547,-44.86083984,-44.86083984,-45.16601563
4.900000095,-49.13330078,-49.13330078,-45.77636719,-43.64013672,-46.38671875
5,-47.30224609,-50.96435547,-45.16601563,-44.86083984,-45.77636719
5.099999905,-48.828125,-49.13330078,-45.16601563,-43.9453125,-47.30224609
5.199999809,-46.69189453,-49.74365234,-44.25048828,-43.64013672,-44.55566406
5.300000191,-48.21777344,-48.21777344,-45.16601563,-42.41943359,-45.47119141
5.400000095,-48.828125,-49.43847656,-46.08154297,-42.72460938,-44.86083984
5.5,-47.30224609,-50.04882813,-45.16601563,-44.55566406,-46.08154297
